Fred Astaire
Jenny McCarthy
Matthew McConaughey
Ewan McGregor
Alyssa Milano
Demi Moore
Julianne Moore
Bill Murray
Mike Myers
Jack Nicholson
Gary Oldman
Al Pacino
Bill Paxton
Michelle Pfeiffer
Ryan Phillippe
River Phoenix
Natalie Portman
Parker Posey
Keanu Reeves
Christina Ricci
Molly Ringwald
Tim Robbins
Julia Roberts
Mimi Rogers
Meg Ryan
Winona Ryder
Mia Sara
Susan Sarandon
Arnold Schwarzenegger
Martin Scorsese
Steven Seagal
Joan Severance
Charlie Sheen
Brooke Shields
Elisabeth Shue
Alicia Silverstone
Christian Slater
Will Smith
Mira Sorvino
Kevin Spacey
Sylvester Stallone
Sharon Stone
Quentin Tarantino
Charlize Theron
Uma Thurman
Jennifer Tilly
John Travolta
Shannon Tweed
Liv Tyler
Skeet Ulrich
Mark Wahlberg
Denzel Washington
Sigourney Weaver
Robin Williams
Bruce Willis
James Woods
Timothy Dowling
Robert Ellis
Isabelle Adjani
Ben Affleck
Jenny Agutter
Alan Alda
Stephanie Zimbalist
Ginger Lynn
Joan Allen
Karen Allen
Nancy Allen
Kirstie Alley
Ursula Andress
Julie Andrews
Gabrielle Anwar
Anne Archer
Fanny Ardant
Alan Arkin
David Arquette
Rosanna Arquette
Sean Astin
Richard Attenborough
Pernilla August
Hank Azaria
Catherine Bach
Scott Baio
Scott Bairstow
Brenda Bakke
Adam Baldwin
Alec Baldwin
Stephen Baldwin
William Baldwin
Christian Bale
Ellen Barkin
Angela Bassett
Michelle Bauer
Sean Bean
Amanda Bearse
Kate Beckinsale
Robert Beltran
Tom Berenger
Candice Bergen
Michael Biehn
Juliette Binoche
Thora Birch
Jacqueline Bisset
Honor Blackman
Linda Blair
Mel Blanc
Brian Blessed
Ernest Borgnine
David Bowie
Bruce Boxleitner
Annie Rosar
Amy Brenneman
Jeff Bridges
Charles Bronson
Louise Brooks
Mel Brooks
Clancy Brown
Yancy Butler
Gabriel Byrne
Michael Caine
Barbara Carrera
David Caruso
Kim Cattrall
Lacey Chabert
Richard Chamberlain
Jackie Chan
Stockard Channing
Chevy Chase
Don Cheadle
Glenn Close
James Coburn
Roger Corman
Cindy Crawford
James Cromwell
David Cronenberg
Denise Crosby
Billy Crystal
Macaulay Culkin
Tim Curry
Tony Curtis
Joan Cusack
Willem Dafoe
Matt Damon
Anthony Daniels
Sybil Danning
Lolita Davidovich
Danny DeVito
Loren Dean
Sandra Dee
Julie Delpy
Catherine Deneuve
Laura Dern
Matt Dillon
Walt Disney
Ami Dolenz
Amanda Donohoe
Michael Dorn
Brad Dourif
Fran Drescher
Richard Dreyfuss
Minnie Driver
Kirsten Dunst
Robert Duvall
Anthony Edwards
Jennifer Ehle
Sam Elliott
Robert Englund
Emilio Estevez
Rupert Everett
Morgan Fairchild
Peter Falk
Chris Farley
Terry Farrell
Farrah Fawcett
Corey Feldman
Sally Field
David Fincher
Linda Fiorentino
Laurence Fishburne
Carrie Fisher
Bridget Fonda
Jane Fonda
Michelle Forbes
John Ford
Jonathan Frakes
Brendan Fraser
Stephen Fry
Edward Furlong
Andy Garcia
Janeane Garofalo
Teri Garr
Jami Gertz
Terry Gilliam
Crispin Glover
Danny Glover
Valeria Golino
John Goodman
Serena Grandi
Hugh Grant
Jennifer Grey
Pam Grier
Melanie Griffith
Steve Guttenberg
Gene Hackman
Corey Haim
Mark Hamill
Daryl Hannah
Woody Harrelson
Ed Harris
Nina Hartley
Noah Hathaway
Rutger Hauer
Goldie Hawn
Glenne Headly
Dan Hedaya
Mariel Hemingway
Marilu Henner
Lance Henriksen
Natasha Henstridge
Gaby Hoffmann
Lauren Holly
Ian Holm
Dennis Hopper
Holly Hunter
John Hurt
William Hurt
Timothy Hutton
Jeremy Irons
Michael Ironside
Kate Jackson
Famke Janssen
Jim Jarmusch
Ron Jeremy
Don Johnson
Jeffrey Jones
Raul Julia
Boris Karloff
Diane Keaton
Michael Keaton
Patsy Kensit
Sally Kirkland
Mia Kirshner
Tawny Kitaen
Walter Koenig
Elias Koteas
Alice Krige
Sylvia Kristel
Christopher Lambert
John Landis
Heather Langenkamp
Brandon Lee
Christopher Lee
John Leguizamo
Jack Lemmon
Juliette Lewis
Jennifer Lien
Matthew Lillard
Bai Ling
Ray Liotta
Christopher Lloyd
Emily Lloyd
Amy Locane
Nia Long
Rob Lowe
Carey Lowell
Bela Lugosi
Andie MacDowell
Shirley MacLaine
Elle Macpherson
Michael Madsen
Virginia Madsen
Lee Majors
John Malkovich
Sophie Marceau
Vanessa Marcil
Julianna Margulies
Heather Matarazzo
Samantha Mathis
Walter Matthau
Mathilda May
Debi Mazar
Andrew McCarthy
Frances McDormand
Malcolm McDowell
Gates McFadden
Kelly McGillis
Rose McGowan
Steve McQueen
Colm Meaney
Dina Meyer
Bette Midler
Sal Mineo
Carmen Miranda
Helen Mirren
Matthew Modine
Alfred Molina
Elizabeth Montgomery
Roger Moore
Kate Mulgrew
Dermot Mulroney
Eddie Murphy
Liam Neeson
Sam Neill
Judd Nelson
Brigitte Nielsen
Leslie Nielsen
Leonard Nimoy
Nick Nolte
Peter North
Jeremy Northam
Lena Olin
Julia Ormond
Frank Oz
Gwyneth Paltrow
Dolly Parton
Jason Patric
Alexandra Paul
Sean Penn
George Peppard
Anthony Perkins
Ron Perlman
Luke Perry
Joe Pesci
Amanda Peterson
Robert Picardo
Donald Pleasence
Martha Plimpton
Eve Plumb
Roman Polanski
Pete Postlethwaite
Kelly Preston
Jason Priestley
Victoria Principal
Jonathan Pryce
Bill Pullman
Dennis Quaid
Kathleen Quinlan
Harold Ramis
Robert Redford
Vanessa Redgrave
Brad Renfro
Jean Reno
Paul Reubens
Burt Reynolds
Ving Rhames
Giovanni Ribisi
Ariana Richards
Denise Richards
Joely Richardson
Alan Rickman
John Ritter
Eric Roberts
Tanya Roberts
Isabella Rossellini
Tim Roth
Mickey Rourke
Kurt Russell
Theresa Russell
Rene Russo
Fred Savage
John Sayles
Greta Scacchi
Johnathon Schaech
Claudia Schiffer
Liev Schreiber
Jerry Seinfeld
Tom Selleck
Peter Sellers
Yahoo Serious
Tupac Shakur
William Shatner
Ally Sheedy
Martin Sheen
Gary Sinise
Marina Sirtis
Tom Skerritt
Helen Slater
Jaclyn Smith
Alan Smithee
Wesley Snipes
Paul Sorvino
Talisa Soto
Sissy Spacek
James Spader
Brent Spiner
Terence Stamp
Eric Stoltz
Madeleine Stowe
David Strathairn
Meryl Streep
Barbra Streisand
Tami Stronach
Donald Sutherland
Kiefer Sutherland
Dominique Swain
Patrick Swayze
Lili Taylor
David Thewlis
Emma Thompson
Fred Thompson
Lea Thompson
Meg Tilly
Marisa Tomei
Tamlyn Tomita
Jeanne Tripplehorn
Chris Tucker
Robin Tunney
Kathleen Turner
Vince Vaughn
Gore Vidal
Nana Visitor
Jon Voight
Christopher Walken
Sela Ward
Julie Warner
John Waters
Teri Weigel
Peter Weller
Joanne Whalley
Wil Wheaton
Gene Wilder
Michael Wincott
Debra Winger
Kate Winslet
Reese Witherspoon
BD Wong
Elijah Wood
Robin Wright
Michelle Yeoh
Sean Young
Billy Zane
Rick Baker
Joel Oliansky
Willie Aames
Caroline Aaron
Paula Abdul
Ian Abercrombie
Victoria Abril
Joss Ackland
Deborah Adair
Brooke Adams
Maud Adams
Mario Adorf
Casey Affleck
John Agar
Brian Aherne
Danny Aiello
Eddie Albert
Brian Aldiss
Jane Alexander
Muhammad Ali
Debbie Allen
Tim Allen
June Allyson
Carol Alt
Trini Alvarado
Don Ameche
Leon Ames
Suzy Amis
Judith Anderson
Juliet Anderson
Kevin Anderson
Lindsay Anderson
Loni Anderson
Melody Anderson
Bibi Andersson
Anthony Andrews
Dana Andrews
Pier Angeli
Francesca Annis
Susan Anspach
Lysette Anthony
Susan Anton
Laura Antonelli
Christina Applegate
Alfonso Arau
Denys Arcand
Eve Arden
Asia Argento
Alison Armitage
Bess Armstrong
Desi Arnaz
James Arness
Tom Arnold
Alexis Arquette
Lewis Arquette
Jean Arthur
Dana Ashbrook
Hal Ashby
Linden Ashby
Edward Asner
Armand Assante
Mary Astor
Christopher Atkins
Claudine Auger
Daniel Auteuil
Gene Autry
Frankie Avalon
Tex Avery
Mili Avital
Lew Ayres
Shabana Azmi
Barbara Bach
Amitabh Bachchan
Jim Backus
John Badham
Mary Badham
Jane Badler
Maxine Bahns
Barbara Bain
Oksana Baiul
Diane Baker
Kathy Baker
Scott Bakula
Bob Balaban
Daniel Baldwin
Ina Balin
Lucille Ball
Michael Ballhaus
Martin Balsam
Anne Bancroft
Tallulah Bankhead
Ian Bannen
Theda Bara
Olivia Barash
Javier Bardem
Clive Barker
Lex Barker
Majel Barrett
Ethel Barrymore
John Barrymore
Lionel Barrymore
Paul Bartel
Freddie Bartholomew
Robin Bartlett
Billy Barty
Mikhail Baryshnikov
Richard Basehart
Jason Bateman
Justine Bateman
Alan Bates
Kathy Bates
Randall Batinkoff
Patrick Bauchau
Belinda Bauer
Steven Bauer
Anne Baxter
Meredith Baxter
Michael Bay
Nathalie Baye
Stephanie Beacham
Jennifer Beals
Ned Beatty
Warren Beatty
Meret Becker
Bonnie Bedelia
Wallace Beery
Jason Beghe
Harry Belafonte
Ralph Bellamy
Kathleen Beller
Monica Bellucci
Pamela Bellwood
Jim Belushi
Brian Benben
William Bendix
Roberto Benigni
Annette Bening
Richard Benjamin
David Bennent
Constance Bennett
Joan Bennett
Nigel Bennett
Jack Benny
Robby Benson
Peter Berg
Polly Bergen
Helmut Berger
Senta Berger
Patrick Bergin
Sandahl Bergman
Elizabeth Berkley
Steven Berkoff
Milton Berle
Sandra Bernhard
Corbin Bernsen
Elizabeth Berridge
Halle Berry
Valerie Bertinelli
Bibi Besch
Martine Beswick
Richard Beymer
Daniela Bianchi
Kathryn Bigelow
Theodore Bikel
Traci Bingham
Jane Birkin
Whit Bissell
Karen Black
Shane Black
Cate Blanchett
Brenda Blethyn
Joan Blondell
Hart Bochner
Peter Bogdanovich
Ward Bond
Lisa Bonet
Powers Boothe
Barry Bostwick
Timothy Bottoms
Carole Bouquet
Stephen Boyd
Charles Boyer
Lorraine Bracco
Eric Braeden
Lillo Brancato
Jonathan Brandis
Nicoletta Braschi
Tinto Brass
Benjamin Bratt
Walter Brennan
Martin Brest
Beau Bridges
Lloyd Bridges
Wilford Brimley
Jim Broadbent
James Brolin
Josh Brolin
Albert Brooks
Avery Brooks
Bryan Brown
Jim Brown
Jerry Bruckheimer
Yul Brynner
Betty Buckley
Billie Burke
Carol Burnett
Raymond Burr
Ellen Burstyn
LeVar Burton
Gary Busey
Jake Busey
Red Buttons
Tom Byron
James Caan
Dean Cain
Simon Callow
Billy Campbell
John Candy
Dyan Cannon
Kate Capshaw
Irene Cara
Claudia Cardinale
Mariah Carey
Robert Carlyle
David Carradine
John Carradine
Keith Carradine
Robert Carradine
Katrin Cartlidge
Veronica Cartwright
Dana Carvey
John Cassavetes
Nick Cassavetes
Seymour Cassel
Joanna Cassidy
Shaun Cassidy
Maxwell Caulfield
Jim Caviezel
John Cazale
Claude Chabrol
Marilyn Chambers
Rosalind Chao
Ben Chaplin
Geraldine Chaplin
Graham Chapman
Josh Charles
David Charvet
Joan Chen
Maggie Cheung
Lois Chiles
Anna Chlumsky
Tommy Chong
Julie Christie
Jill Clayburgh
Montgomery Clift
Bill Clinton
Kurt Cobain
Claudette Colbert
Dabney Coleman
Toni Collette
Joan Collins
Robbie Coltrane
Jeffrey Combs
Jeff Conaway
Jason Connery
Robert Conrad
Jackie Coogan
Sofia Coppola
Bud Cort
Bill Cosby
Annie Costner
Joseph Cotten
Courteney Cox
Ronny Cox
Peter Coyote
Joan Crawford
Richard Crenna
Bing Crosby
Scatman Crothers
Lindsay Crouse
Billy Crudup
Jon Cryer
Ice Cube
Kieran Culkin
Alan Cumming
Lee Curreri
Peter Cushing
Henry Czerny
Mark Dacascos
Roald Dahl
Timothy Dalton
Charles Dance
Rodney Dangerfield
Jeff Daniels
Blythe Danner
Ted Danson
Tony Danza
Linda Darnell
Racquel Darrian
Stacey Dash
Robert Davi
Jaye Davidson
Embeth Davidtz
Jeremy Davies
Brad Davis
Judy Davis
Ossie Davis
Warwick Davis
Bruce Davison
Pam Dawber
Ellen DeGeneres
Dom DeLuise
Kim Delaney
Dana Delany
Alain Delon
Ted Demme
Patrick Dempsey
Judi Dench
Brian Dennehy
Bob Denver
John Derek
Bruce Dern
William Devane
Susan Dey
Angie Dickinson
Uschi Digard
Kevin Dillon
Donna Dixon
Shannen Doherty
Troy Donahue
Richard Donner
James Doohan
Stephen Dorff
Illeana Douglas
Michael Dudikoff
Patrick Duffy
Olympia Dukakis
Patty Duke
Keir Dullea
Faye Dunaway
Adrian Dunbar
Dominique Dunne
Griffin Dunne
Roy Dupuis
Charles Durning
James Duval
Shelley Duvall
George Dzundza
Roger Ebert
Buddy Ebsen
Christopher Eccleston
Aaron Eckhart
Barbara Eden
Nicole Eggert
Chris Eigeman
Anita Ekberg
Britt Ekland
Jack Elam
Carmen Electra
Bodhi Elfman
Jenna Elfman
Hector Elizondo
Denholm Elliott
Noah Emmerich
David Prowse
Adam Sandler
Shelley Fabares
Jeff Fahey
Douglas Fairbanks
Anna Falchi
Debrah Farentino
Dennis Farina
Gary Farmer
Mia Farrow
Marty Feldman
Norman Fell
Miguel Ferrer
William Fichtner
Chelsea Field
Joseph Fiennes
Harvey Fierstein
Albert Finney
Tara Fitzgerald
Fionnula Flanagan
Louise Fletcher
Calista Flockhart
Errol Flynn
Nina Foch
Megan Follows
Peter Fonda
Glenn Ford
Harrison Ford
Claire Forlani
Milos Forman
Robert Forster
John Forsythe
William Forsythe
Meg Foster
Samantha Fox
Dennis Franz
Stephen Frears
Matt Frewer
Sadie Frost
Mira Furlan
Dan Futterman
Eva Gabor
Monique Gabrielle
Charlotte Gainsbourg
Peter Gallagher
Vincent Gallo
Mason Gamble
James Gandolfini
Victor Garber
Greta Garbo
Ava Gardner
James Garner
Jennie Garth
John Gavin
Rebecca Gayheart
Ben Gazzara
